Shawn Hatosy
Isaac Hayes
Sean Hayes
Patricia Heaton
Laura Harring
Lori Heuring
Alexandra Holden
Katie Holmes
Bo Hopkins
Djimon Hounsou
Terrence Howard
Kelly Hu
Kate Hudson
Gale Anne Hurd
Jason Isaacs
Joshua Jackson
Thomas Jane
Chuck Jones
Quincy Jones
Vinnie Jones
Spike Jonze
Jeffrey Katzenberg
Kathleen Kennedy
Chris Klein
Mila Kunis
Ashton Kutcher
LL Cool J
Eriq La Salle
Mary Lambert
Sherry Lansing
Ali Larter
John Lasseter
Sanaa Lathan
Lucy Lawless
Heath Ledger
Jason Lee
Mike Leigh
Delroy Lindo
Lucy Liu
Eric Lloyd
Robert Loggia
Lorna Luft
Natasha Lyonne
Bernie Mac
Bill Maher
Leslie Mann
James Marsden
Garry Marshall
Paul McCartney
Mary McCormack
Ian McKellen
Mike Medavoy
Sam Mendes
Debra Messing
Breckin Meyer
Michael Michele
Dash Mihok
Juliet Mills
Anthony Minghella
Carrie-Anne Moss
Bridget Moynahan
Brittany Murphy
Craig T. Nelson
Randy Newman
Alessandro Nivola
Brandy Norwood
Jerry O'Connell
Haley Joel Osment
Erik Palladino
Trey Parker
Amanda Pays
Kimberly Peirce
Michael Penn
Piper Perabo
Jon Peters
Busy Philipps
Bijou Phillips
Jeremy Piven
Monica Potter
Jaime Pressly
Freddie Prinze Jr.
Norman Reedus
Robert Rehme
Tara Reid
Carl Reiner
Ryan Reynolds
Busta Rhymes
Jay Roach
Brian Robbins
Sam Rockwell
Dennis Rodman
Ray Romano
Rebecca Romijn
Cecilia Roth
Joe Roth
Keri Russell
Jason Schwartzman
Seann William Scott
Jane Seymour
Lin Shaye
Marley Shelton
Ron Shelton
Joel Silver
Gene Simmons
Henry Simmons
Jessica Simpson
John Singleton
Jeremy Sisto
Lindsay Sloane
Amy Smart
Jean Smart
Leelee Sobieski
Scott Speedman
Dina Spybey-Waters
Jason Statham
Mary Steenburgen
Leslie Stefanson
Michael Stipe
Hilary Swank
Larenz Tate
Maura Tierney
Justin Timberlake
Steve Tisch
Lily Tomlin
Michelle Trachtenberg
Jon Turteltaub
Gabrielle Union
Wilmer Valderrama
Amber Valletta
Steven Van Zandt
Donnie Wahlberg
Maitland Ward
Barry Watson
Keenen Ivory Wayans
Marlon Wayans
Harvey Weinstein
Jerry Weintraub
Haskell Wexler
Luke Wilson
Owen Wilson
Irwin Winkler
Russell Wong
Richard D. Zanuck
Chris L. Spellman
Pierre Gill
