# id,beta
1547,1.14009
1548,2.44560
1549,2.57496
1550,2.08579
1551,2.26432
1552,1.45681
1553,2.05267
1554,2.91427
1555,2.23758
1556,1.25668
1557,2.03046
1558,4.00656
1559,3.05514
1560,1.31937
1561,4.03226
1562,4.65451
1563,4.56200
1564,1.76750
1565,1.76724
1566,6.39078
1567,1.85575
1568,1.45675
1569,2.47813
1570,2.20437
1571,2.19270
1572,1.41585
1573,3.61288
1574,4.97289
1575,2.71716
1576,1.57487
1577,1.83317
1578,14.33111
1579,2.55242
1580,1.53030
1581,2.36215
1582,4.86453
1583,1.16095
1584,1.26805
1585,2.57886
1586,6.24099
1587,1.35994
1588,2.15838
1589,2.19683
1590,3.29688
1591,1.41032
1592,1.38183
1593,1.76445
1594,3.35990
1595,1.61039
1596,1.36097
1597,3.83556
1598,10.54552
1599,1.98690
1600,2.63918
1601,1.67663
1602,3.46412
1603,1.29180
1604,1.84724
1605,2.20246
1606,3.10924
1607,4.49235
1608,0.89084
1609,6.84531
1610,12.17540
1611,2.13932
1612,2.08051
1613,0.82158
1614,1.45863
1615,1.16957
1616,1.24219
1617,2.45940
1618,1.03897
1619,2.74880
1620,1.47571
1621,6.66887
1622,5.37022
1623,15.90033
1624,1.32133
1625,1.47631
1626,1.33129
1627,1.52567
1628,1.29165
1629,5.73007
1630,12.12487
1631,3.25485
1632,1.72845
1633,5.29374
1634,10.53902
1635,2.84193
1636,2.10608
1637,1.54712
1638,1.54275
1639,1.08930
1640,1.43658
1641,2.10849
1642,4.86076
1643,4.48958
1644,1.23330
1645,2.17381
1646,3.45958
1647,2.01099
1648,1.89722
1649,1.01116
1650,1.00835
1651,5.82332
1652,1.17674
1653,3.08506
1654,3.80382
1655,2.22755
1656,1.43537
1657,1.50648
1658,1.88193
1659,1.67068
1660,1.33721
1661,2.29113
1662,6.66819
1663,1.80678
1664,2.24830
1665,8.63358
1666,5.63054
1667,1.49819
1668,10.05974
1669,2.43327
1670,6.08332
1671,1.14450
1672,1.84521
1673,3.14130
1674,1.48500
1675,1.59613
1676,1.78917
1677,1.94036
1678,1.68670
1679,1.03323
1680,1.23799
1681,1.27181
1682,2.29533
1683,2.09277
1684,1.70060
1685,1.52708
1686,1.80795
1687,1.30362
1688,1.46281
1689,1.29205
1690,1.38928
1691,1.65992
1692,1.61236
1693,1.64276
1694,1.76728
1695,1.27980
1696,1.29569
1697,3.65074
1698,6.93033
1699,1.52532
1700,1.73267
1701,2.95168
1702,2.69192
1703,1.07277
1704,1.57206
1705,40.67705
1706,8.09611
1707,1.95125
1708,1.88888
1709,1.38837
1710,4.36280
1711,1.05732
1712,1.81916
1713,1.17182
1714,1.87351
1715,1.12393
1716,1.43507
1717,1.94880
1718,1.90174
1719,1.39084
1720,1.58558
1721,1.66771
1722,2.60146
1723,2.77454
1724,1.17030
1725,2.31464
1726,3.36453
1727,1.67940
1728,1.37960
1729,1.10876
1730,1.42282
1731,0.91808
1732,1.18556
1733,3.65869
1734,9.76969
1735,1.77831
1736,2.16902
1737,2.15500
1738,3.32794
1739,1.06463
1740,1.12846
1741,1.97227
1742,7.08377
1743,3.30310
1744,1.52780
1745,1.97055
1746,2.28303
1747,1.32921
1748,1.44839
1749,3.89204
1750,1.75633
1751,1.98483
1752,1.35891
1753,1.30223
1754,2.90022
1755,1.60893
1756,1.11296
1757,1.77728
1758,4.17187
1759,1.25089
1760,2.08991
1761,1.97015
1762,2.63230
1763,3.13606
1764,1.19508
1765,2.09280
1766,5.60991
1767,1.11580
1768,1.95411
1769,3.35104
1770,3.33639
1771,1.27761
1772,2.90678
1773,2.31644
1774,2.46416
1775,1.08966
1776,1.31808
1777,2.12809
1778,3.37017
1779,4.09583
1780,1.17265
1781,1.26938
1782,2.59804
1783,1.58822
1784,1.13496
1785,1.49515
1786,1.57040
1787,1.06052
1788,1.21920
1789,2.72822
1790,2.42586
1791,1.45159
1792,1.25484
1793,1.51662
1794,1.96789
1795,1.00520
1796,1.28474
1797,2.61857
1798,6.57233
1799,2.16483
1800,1.16418
1801,1.82748
1802,3.95701
1803,2.71002
1804,1.33478
1805,1.70033
1806,2.30493
1807,0.99247
1808,1.11004
1809,1.50011
1810,6.20105
1811,1.04431
1812,1.49634
1813,1.88230
