2920 58 58 3
5 43 [0.0, 0.0, 0.0] 
42 40 [0.077726   0.45450681 0.46776719] 
42 41 [0.0, 0.0, 0.0] 
42 42 [0.24634668 0.44849153 0.30516178] 
42 43 [0.19181864 0.50544145 0.30273991] 
23 40 [0.16848544 0.42535797 0.40615658] 
23 41 [0.0, 0.0, 0.0] 
23 42 [0.65575079 0.25860299 0.08564622] 
23 43 [0.28116712 0.46932093 0.24951195] 
20 40 [0.0, 0.0, 0.0] 
20 41 [0.0, 0.0, 0.0] 
20 42 [0.23344838 0.42067253 0.34587909] 
20 43 [0.0, 0.0, 0.0] 
36 40 [0.21136616 0.41687934 0.37175449] 
36 41 [0.0, 0.0, 0.0] 
36 42 [0.26899723 0.44095713 0.29004564] 
36 43 [0.12138056 0.46591454 0.4127049 ] 
32 40 [0.08552901 0.46428986 0.45018114] 
32 41 [0.15779116 0.448506   0.39370284] 
32 42 [0.14500227 0.42606384 0.42893389] 
32 43 [0.11765353 0.42991131 0.45243516] 
33 40 [0.0, 0.0, 0.0] 
33 41 [0.16385731 0.42337506 0.41276762] 
33 42 [0.18026016 0.42282311 0.39691673] 
33 43 [0.06249418 0.45573665 0.48176917] 
8 40 [0.22583809 0.44088657 0.33327533] 
8 41 [0.0, 0.0, 0.0] 
8 42 [0.10040319 0.43324245 0.46635436] 
8 43 [0.0824437  0.45751954 0.46003676] 
27 40 [0.0, 0.0, 0.0] 
27 41 [0.0, 0.0, 0.0] 
27 42 [0.09043315 0.44622207 0.46334478] 
27 43 [0.12671623 0.4353154  0.43796837] 
9 44 [0.0, 0.0, 0.0] 
9 45 [0.0, 0.0, 0.0] 
9 46 [0.11523672 0.43685177 0.44791151] 
9 47 [0.0, 0.0, 0.0] 
41 44 [0.05085945 0.46706922 0.48207133] 
41 45 [0.0, 0.0, 0.0] 
41 46 [0.0, 0.0, 0.0] 
41 47 [0.0, 0.0, 0.0] 
17 44 [0.0, 0.0, 0.0] 
17 45 [0.0, 0.0, 0.0] 
17 46 [0.20802368 0.45129041 0.34068591] 
17 47 [0.14551459 0.42615177 0.42833364] 
28 44 [0.0, 0.0, 0.0] 
28 45 [0.0, 0.0, 0.0] 
28 46 [0.05435145 0.46067265 0.4849759 ] 
28 47 [0.12549702 0.42414921 0.45035377] 
1 44 [0.16117216 0.49681009 0.34201775] 
1 45 [0.0, 0.0, 0.0] 
1 46 [0.15203525 0.43601101 0.41195374] 
1 47 [0.30456921 0.41751015 0.27792064] 
11 44 [0.05613123 0.46360001 0.48026875] 
11 45 [0.0, 0.0, 0.0] 
11 46 [0.20206274 0.43422225 0.36371501] 
11 47 [0.12978452 0.44666477 0.42355071] 
39 44 [0.16702874 0.44228486 0.3906864 ] 
39 45 [0.0, 0.0, 0.0] 
39 46 [0.17573512 0.42259556 0.40166931] 
39 47 [0.0, 0.0, 0.0] 
22 44 [0.14356919 0.47654646 0.37988435] 
22 45 [0.0, 0.0, 0.0] 
22 46 [0.09791929 0.43966935 0.46241136] 
22 47 [0.04993072 0.47213936 0.47792992] 
5 44 [0.0, 0.0, 0.0] 
5 45 [0.0, 0.0, 0.0] 
5 46 [0.0, 0.0, 0.0] 
5 47 [0.0, 0.0, 0.0] 
42 44 [0.31437895 0.49176061 0.19386044] 
42 45 [0.0, 0.0, 0.0] 
42 46 [0.05631969 0.46445189 0.47922842] 
42 47 [0.3058089  0.44471975 0.24947135] 
23 44 [0.12921799 0.44972646 0.42105554] 
23 45 [0.0, 0.0, 0.0] 
23 46 [0.25080688 0.40119792 0.3479952 ] 
23 47 [0.11629641 0.46651247 0.41719112] 
20 44 [0.0, 0.0, 0.0] 
20 45 [0.0, 0.0, 0.0] 
20 46 [0.0997892  0.44143172 0.45877907] 
20 47 [0.07070587 0.45931685 0.46997728] 
36 44 [0.3838863  0.41346593 0.20264778] 
36 45 [0.0, 0.0, 0.0] 
36 46 [0.46066176 0.42032781 0.11901043] 
36 47 [0.4833341  0.3933454  0.12332051] 
25 44 [0.28819783 0.41000437 0.3017978 ] 
25 45 [0.0, 0.0, 0.0] 
25 46 [0.0, 0.0, 0.0] 
25 47 [0.05438308 0.47153388 0.47408304] 
